"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Millard County, UT"	"49027"	138	63551	217.1	181.6
	"Morgan County, UT"	"49029"	76	59341	128.1	140.8
	"Piute County, UT"	"49031"	29	7095	408.7	228.2
	"Rich County, UT"	"49033"	19	11842	Unreliable	Unreliable
	"Salt Lake County, UT"	"49035"	8700	5667416	153.5	177.2
	"San Juan County, UT"	"49037"	147	77046	190.8	188.8
	"Sanpete County, UT"	"49039"	283	150454	188.1	179.9
	"Sevier County, UT"	"49041"	282	105738	266.7	222.6
	"Summit County, UT"	"49043"	182	206329	88.2	87.4
	"Tooele County, UT"	"49045"	526	345926	152.1	200.2
	"Uintah County, UT"	"49047"	377	176527	213.6	248.3
	"Utah County, UT"	"49049"	3063	3082129	99.4	155.6
	"Wasatch County, UT"	"49051"	175	163942	106.7	118.7
	"Washington County, UT"	"49053"	1634	838489	194.9	134.9
	"Wayne County, UT"	"49055"	32	13354	239.6	157.3
	"Weber County, UT"	"49057"	2377	1261570	188.4	206.1
	"Addison County, VT"	"50001"	427	180331	236.8	171.2
	"Bennington County, VT"	"50003"	617	172506	357.7	225.0
	"Caledonia County, VT"	"50005"	447	147049	304.0	214.1
	"Chittenden County, VT"	"50007"	1490	799622	186.3	169.8
	"Essex County, VT"	"50009"	118	30053	392.6	228.5
	"Franklin County, VT"	"50011"	623	242236	257.2	214.8
	"Grand Isle County, VT"	"50013"	81	34920	232.0	160.5
	"Lamoille County, VT"	"50015"	288	124321	231.7	176.5
	"Orange County, VT"	"50017"	407	141624	287.4	191.2
	"Orleans County, VT"	"50019"	461	130987	351.9	219.6
	"Rutland County, VT"	"50021"	995	285699	348.3	226.2
	"Washington County, VT"	"50023"	759	284738	266.6	196.4
	"Windham County, VT"	"50025"	635	207429	306.1	200.4
	"Windsor County, VT"	"50027"	768	268601	285.9	174.0
	"Accomack County, VA"	"51001"	710	158029	449.3	283.2
	"Albemarle County, VA"	"51003"	822	528960	155.4	120.8
	"Alleghany County, VA"	"51005"	307	73032	420.4	248.2
	"Amelia County, VA"	"51007"	234	63682	367.5	252.7
	"Amherst County, VA"	"51009"	499	154228	323.5	220.6
	"Appomattox County, VA"	"51011"	279	77228	361.3	235.3
	"Arlington County, VA"	"51013"	1060	1163996	91.1	109.8
	"Augusta County, VA"	"51015"	1053	368764	285.5	187.6
	"Bath County, VA"	"51017"	104	20622	504.3	268.0
	"Bedford County, VA"	"51019"	1082	385107	281.0	183.2
	"Bland County, VA"	"51021"	140	30966	452.1	280.6
	"Botetourt County, VA"	"51023"	428	162960	262.6	163.4
	"Brunswick County, VA"	"51025"	363	79206	458.3	307.1
	"Buchanan County, VA"	"51027"	575	104485	550.3	348.2
	"Buckingham County, VA"	"51029"	264	83754	315.2	224.0
	"Campbell County, VA"	"51031"	796	268610	296.3	206.4
	"Caroline County, VA"	"51033"	411	150373	273.3	218.2
	"Carroll County, VA"	"51035"	525	144765	362.7	215.3
	"Charles City County, VA"	"51036"	139	33948	409.4	244.4
	"Charlotte County, VA"	"51037"	225	58280	386.1	252.0
	"Chesterfield County, VA"	"51041"	3302	1717683	192.2	172.9
	"Clarke County, VA"	"51043"	204	70952	287.5	197.6
	"Craig County, VA"	"51045"	82	24824	330.3	203.7
